run,DAQ_time_start_HUMAN,DAQ_time_end_HUMAN
195483,22/01/2013 01:44:52,22/01/2013 06:47:16
195482,22/01/2013 00:47:21,22/01/2013 01:40:47
195481,22/01/2013 00:36:16,22/01/2013 00:43:41
195480,22/01/2013 00:04:32,22/01/2013 00:32:26
195479,21/01/2013 21:08:04,21/01/2013 23:57:22
195478,21/01/2013 20:54:19,21/01/2013 21:04:08
195391,21/01/2013 03:16:03,21/01/2013 03:51:33
195390,21/01/2013 02:48:08,21/01/2013 03:09:00
195389,21/01/2013 01:53:55,21/01/2013 02:29:05
195351,20/01/2013 15:55:58,20/01/2013 16:39:32
195346,20/01/2013 15:33:43,20/01/2013 15:49:26
195344,20/01/2013 15:15:16,20/01/2013 15:26:59
